name,tm,nat,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Joe Hart,Burnley,eng,32,GK,196,91,19,1710,-,-,-,-,-,45,0.2,-,-,-,-,-,0.8,0.1,-,-,0.1,-,-,-,-,0.1,29.7,-,10.8,-
Jeff Hendrick,Burnley,ie,27,M(CR),185,79,25(7),2071,3,-,4,-,0.6,75.3,0.5,1,0.8,0.4,0.5,-,0.8,0.7,0.2,-,0.4,0.4,0.4,0.3,0.9,1,20.6,0.1,0.7,-
Phil Bardsley,Burnley,sct,34,D(LR),180,74,19,1672,-,-,9,-,0.6,69,1.7,-,1.7,1.6,1.2,0.1,3.5,0.5,0.6,1,0.4,0.2,0.6,-,0.3,0.5,29.2,0.5,1.9,-
Jack Cork,Burnley,eng,30,DMC,183,70,37,3313,1,2,6,-,0.5,81.2,1.4,-,1.4,0.8,0.8,-,2.1,0.8,0.4,-,0.5,0.8,1,0.1,1,1.2,35.9,0.1,2.1,0.1
Sam Vokes,Burnley,wls,29,FW,186,90,10(10),916,3,-,-,-,1.1,50.7,6.3,-,0.2,-,0.7,-,0.9,-,0.1,-,0.4,0.2,0.5,0.4,0.7,1.4,13.4,-,0.1,-
Ben Gibson,Burnley,eng,26,D(CL),185,78,1,63,1,-,1,-,1,66.7,2,-,1,-,2,-,2,-,1,-,-,-,-,-,-,-,33,-,1,-
James Tarkowski,Burnley,eng,26,D(C),185,81,35,3087,3,1,8,-,0.6,69.5,4.8,3,2,1.2,1,0.3,6.7,0.6,1.6,-,0.1,0.2,0.9,0.1,0.3,0.7,32.4,-,3.1,-
Steven Defour,Burnley,be,31,DMC,173,65,6,452,-,-,-,-,-,81.5,-,-,1.3,1.3,0.2,-,1,1.8,0.5,-,0.3,0.2,0.3,-,0.2,0.2,41.5,-,4.2,-
Ashley Westwood,Burnley,eng,29,DMC,175,80,31(3),2822,2,7,5,-,0.6,76.4,0.6,1,1.7,1.4,0.9,-,1.2,0.7,0.3,-,1.2,0.2,0.6,-,0.5,0.9,41.7,0.9,3,0.1
Ashley Barnes,Burnley,eng,29,"AM(CL),FW",186,77,26(11),2388,12,2,8,-,1.8,59.1,3.6,2,0.8,0.1,1.5,-,0.6,0.6,0.2,1,0.6,0.2,1.8,0.6,1.1,2.3,14,-,0.4,0.1
Robbie Brady,Burnley,ie,27,"D(L),M(CLR)",176,71,6(10),718,-,1,3,1,0.8,62.3,0.7,-,0.9,0.4,0.8,-,0.9,0.7,0.1,-,0.9,0.4,0.3,-,0.6,0.8,13.9,0.7,0.6,0.1
Matej Vydra,Burnley,cz,27,"AM(CL),FW",180,71,3(10),313,1,1,1,-,0.5,64.4,0.4,-,0.2,0.1,0.5,-,0.5,0.2,0.1,-,0.2,0.2,0.1,0.2,0.6,1.4,5.6,-,0.1,-
Dwight McNeil,Burnley,eng,19,M(L),0,0,19(2),1599,3,5,2,-,1.3,75.7,1,2,1.7,0.6,0.7,-,1.5,1.5,0.1,-,1.2,1.5,0.5,-,1.1,1.5,21.6,1.6,0.9,-
Ben Mee,Burnley,eng,29,D(CL),180,74,38,3420,-,2,9,-,0.6,74.9,3.9,1,1.4,1.3,0.7,0.5,6.1,0.2,1.3,2,0.2,0.2,0.5,-,0.1,0.4,39.5,0.1,4.7,-
Aaron Lennon,Burnley,eng,32,M(LR),165,63,14(2),1217,1,1,1,-,0.3,78.8,0.1,1,1.6,0.6,0.8,-,0.8,0.5,-,-,0.4,0.4,1,-,0.8,0.9,17.4,0.2,0.3,-
Peter Crouch,Burnley,eng,38,FW,201,75,0(6),86,-,-,1,-,0.8,39.3,3,-,0.2,-,0.5,-,0.3,-,-,-,-,-,-,-,-,0.5,4.7,-,-,-
Stephen Ward,Burnley,ie,33,D(L),184,82,3,230,-,-,1,-,0.3,74.3,1.3,-,1.3,1.3,0.7,0.3,4,1,0.3,-,0.3,0.7,1,-,-,-,37.7,-,0.7,-
Kevin Long,Burnley,ie,28,D(C),188,83,5(1),513,-,1,-,-,0.2,81,3.3,-,3,1.2,0.5,0.5,5.7,1.7,0.8,-,0.2,0.2,0.8,-,0.2,-,28,-,3.5,-
Charlie Taylor,Burnley,eng,25,"D(L),M(L)",176,70,35(3),3240,-,1,2,-,0.2,72.5,1.9,-,1.4,1.1,0.4,0.3,2.2,0.7,0.9,-,0.3,1.1,1.3,-,0.4,1,30.9,0.6,2.2,-
Matthew Lowton,Burnley,eng,30,"D(LR),M(R)",180,78,19(2),1748,-,-,7,-,0.2,69,1.2,-,2.7,1.4,1,0.1,3.4,1.3,0.3,-,0.4,0.6,0.6,-,0.5,0.3,30.4,0.3,3.4,-
Johann Gudmundsson,Burnley,is,28,AM(CLR),186,78,19(10),1749,3,6,2,-,1.1,72.5,1.1,2,0.9,1.1,0.3,-,1.1,0.6,0.1,-,1.3,0.6,0.8,0.1,1,1.4,16.9,1.3,0.6,-
Tom Heaton,Burnley,eng,33,GK,188,85,19,1710,-,-,3,-,0.1,46.2,0.2,-,-,-,0.1,-,0.7,0.1,-,-,0.1,0.1,0.1,-,-,-,28.5,-,9.9,-
Danny Ings,Southampton,eng,26,"AM(C),FW",178,73,23(1),1668,7,3,1,-,2.3,71.4,0.8,-,1.3,0.2,0.7,-,0.3,0.7,0.1,-,1.2,0.8,0.9,0.3,1.2,2.3,16.3,-,0.5,0.2
Tyreke Johnson,Southampton,eng,20,Midfielder,0,0,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pierre-Emile Højbjerg,Southampton,dk,23,M(C),185,84,31,2764,4,3,7,2,1.7,82.9,1.5,2,2.3,1.9,1.5,0.1,0.9,1.6,0.3,-,0.9,0.7,1.5,-,1.5,1.8,57.8,0.3,3.5,0.1
Fraser Forster,Southampton,eng,31,GK,201,93,1,90,-,-,-,-,-,31.6,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,19,-,5,-
Callum Slattery,Southampton,eng,20,Midfielder,0,0,1(2),110,-,-,-,-,0.3,71,1,-,1.3,0.7,1.3,-,0.3,1.3,0.3,-,-,0.3,1,-,0.7,1.3,10.3,-,0.3,-
Angus Gunn,Southampton,eng,23,GK,196,77,12,1080,-,-,-,-,-,35.3,0.3,1,-,-,-,-,0.9,-,-,-,-,-,0.2,-,-,-,24.1,-,6.2,-
Josh Sims,Southampton,eng,22,AM(R),174,67,2(5),210,-,1,-,-,0.7,72.7,0.1,-,0.1,0.1,0.1,-,0.1,0.3,-,-,0.1,0.6,0.7,0.1,1,0.6,6.3,-,0.1,-
Jan Bednarek,Southampton,pl,23,D(C),189,77,24(1),2151,-,1,7,-,0.2,70.5,3.2,3,1.6,2.8,0.9,0.8,6.7,0.6,1.1,-,0.4,-,0.2,-,0.2,0.2,32.8,-,1.7,0.1
Nathan Redmond,Southampton,eng,25,"AM(CLR),FW",173,69,36(2),3278,6,4,3,-,1.9,75.4,0.7,3,1.2,0.5,0.8,-,0.6,0.7,0.1,-,1.4,2.4,0.7,0.4,2.1,2.2,29.6,0.6,1.3,-
Stuart Armstrong,Southampton,sct,27,AM(CL),183,75,16(13),1433,3,2,2,-,1.1,78.6,0.6,-,1,0.4,0.7,-,0.4,1.2,-,-,1,0.7,0.7,0.1,0.9,1.4,21.1,0.1,0.7,-
Yan Valery,Southampton,fr,20,"D(R),M(R)",180,85,20(3),1715,2,1,3,1,0.3,61.9,1.8,-,1.8,1,1.2,0.3,2.5,0.6,0.1,-,0.3,1,0.3,0.1,1.3,1.4,17.3,0.3,0.6,-
Wesley Hoedt,Southampton,nl,25,D(C),188,77,13,1170,-,-,2,-,0.5,78.6,2.5,-,2.2,1.8,1.2,0.7,5.8,0.7,1,2,0.1,0.5,1.2,-,0.4,0.2,47.8,-,4.4,-
Matt Targett,Southampton,eng,23,"D(L),M(L)",183,70,13(3),1187,1,3,2,-,0.7,69.9,1.1,-,1.7,1.7,0.4,0.3,1.9,0.9,0.2,-,1.4,0.1,0.6,0.1,0.4,0.4,27.6,1.4,1.4,0.1
Alex McCarthy,Southampton,eng,29,GK,193,79,25,2250,-,-,1,-,-,45,0.6,1,-,-,-,-,0.9,-,-,-,-,-,0.1,-,-,-,23.4,-,5.6,-
Mohamed Elyounoussi,Southampton,no,24,AM(LR),178,70,8(8),791,-,-,-,-,1.3,73.4,0.6,-,1,0.4,0.6,-,0.3,0.8,0.1,-,0.9,0.7,0.8,0.1,0.5,0.9,13.9,0.8,0.5,0.1
Steven Davis,Southampton,nir,34,M(CLR),173,70,1(2),97,-,1,-,-,-,94.1,0.3,-,0.7,0.3,0.7,-,1.7,-,-,-,1,-,-,-,-,0.3,22.7,0.3,1.3,0.3
Michael Obafemi,Southampton,ie,19,Forward,169,71,1(5),136,1,1,1,-,1.2,66.7,-,-,0.2,0.2,0.3,-,-,-,0.2,-,0.3,0.5,0.5,0.2,0.3,0.8,3,0.2,-,-
James Ward-Prowse,Southampton,eng,24,M(CR),173,66,21(5),1942,7,-,4,-,1.2,76.5,0.8,-,1.4,1,0.8,-,2,1.1,0.2,1,1.8,0.2,0.4,0.1,0.6,1,27.7,1.5,1,-
Shane Long,Southampton,ie,32,"AM(R),FW",178,81,12(14),1271,5,1,3,-,1.2,64.6,2.8,1,0.6,0.3,1,-,0.7,0.5,-,-,0.5,0.2,0.9,0.5,0.8,2,11.7,-,-,-
Mario Lemina,Southampton,ga,25,DMC,184,85,18(3),1616,1,1,5,-,1.2,86,1.4,-,2.3,2,1.5,-,1.4,0.9,0.1,-,0.6,1.1,1.1,-,1.5,1.2,38.6,0.1,2.1,-
Charlie Austin,Southampton,eng,30,FW,188,84,11(14),981,2,2,1,-,1.3,58.6,1.7,-,0.5,0.1,0.6,-,0.5,0.2,0.1,-,0.4,-,0.7,0.4,0.7,1.2,7.9,-,0.2,-
Jack Stephens,Southampton,eng,25,D(C),185,75,19(5),1699,1,-,4,-,0.3,75,2.3,1,1,1.5,0.5,0.3,3.9,0.5,0.5,-,0.2,0.2,0.3,-,0.2,0.4,32,-,2.4,-
Ryan Bertrand,Southampton,eng,29,"D(CL),M(L)",179,85,24,2160,1,-,8,-,0.7,75.5,1.6,-,1.9,1.2,1.1,0.1,1.8,0.6,0.2,-,1,0.3,0.9,-,0.3,1.3,32.3,0.9,0.8,0.1
Sam Gallagher,Southampton,sct,23,"AM(L),FW",194,75,0(4),32,-,-,-,-,-,16.7,0.8,-,-,-,1,-,0.3,-,-,-,-,-,0.3,-,0.5,0.3,1.5,-,-,-
Cédric Soares,Southampton,pt,27,"D(R),M(R)",172,67,16(2),1494,1,2,4,-,0.6,73.1,1.3,-,1.2,1.2,0.5,0.1,2.8,0.3,0.3,-,0.7,0.4,0.3,0.1,0.6,0.8,33.1,0.8,1.7,-
Jannik Vestergaard,Southampton,dk,26,D(C),199,96,23,2030,-,-,2,-,0.6,76.9,3.7,-,2.3,1.5,0.7,0.9,7.4,0.7,0.9,-,0.2,0.4,0.6,-,0.2,0.4,36.7,-,2.3,0.1
Oriol Romeu,Southampton,es,27,DMC,183,83,25(6),2142,1,-,11,-,0.3,79.3,1.5,1,2.6,1.7,1.5,0.1,1.2,1.5,0.5,-,0.3,0.5,0.5,-,0.5,0.6,35.5,-,1.8,-
Kayne Ramsay,Southampton,,18,Defender,0,0,1,90,-,-,-,-,-,71.4,2,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,14,-,-,-
Manolo Gabbiadini,Southampton,it,27,"AM(CLR),FW",181,72,4(8),471,1,-,-,-,1.7,67.8,0.7,1,0.5,0.3,0.8,-,0.4,0.1,-,-,0.4,0.2,0.7,0.1,0.3,0.4,10.1,0.1,0.1,-
Maya Yoshida,Southampton,jp,30,D(CR),189,78,17,1520,-,1,-,-,0.8,75.7,2.1,-,0.9,2.5,0.2,0.6,5.9,0.5,1.2,-,0.3,0.1,0.4,0.1,-,0.4,32.7,-,2.4,-
Anthony Knockaert,Brighton,fr,27,AM(LR),172,69,18(12),1833,2,6,4,1,0.9,76.9,0.5,-,1.1,1,0.7,-,0.2,0.6,-,-,1.2,1,0.6,0.1,1,1.7,20.5,1.3,1.3,-
Davy Pröpper,Brighton,nl,27,M(C),185,79,30,2551,1,1,2,-,0.5,80,1.2,1,1.7,1.8,1.1,-,1.1,1.2,0.2,-,0.6,1,0.6,-,0.8,1.5,40.4,0.1,2.5,0.1
Alireza Jahanbakhsh,Brighton,ir,25,AM(CLR),180,76,12(7),1022,-,-,2,-,1.1,69.3,0.6,-,1.7,0.6,1,-,0.1,1,-,-,0.3,0.6,0.4,0.3,1.1,1.5,14.6,0.3,0.6,-
Bernardo,Brighton,br,24,D(LR),186,76,19(3),1751,-,1,4,-,0.4,72.7,2,-,2.8,1.5,0.8,0.2,3,0.6,0.6,-,0.5,0.6,1,0.1,0.5,1.2,35.7,0.3,1,-
Dale Stephens,Brighton,eng,30,M(C),169,71,29(1),2487,1,1,6,1,0.4,83.7,0.9,1,2.8,1.5,1.5,-,1.5,1.5,0.4,-,0.6,0.2,0.3,-,0.5,0.9,45.1,-,4.1,-
Pascal Groß,Brighton,de,28,M(C),181,78,24(1),1878,3,3,1,-,1,75.6,0.7,1,1.1,0.5,0.4,-,0.9,1,0.3,-,2.2,0.2,0.5,0.2,0.8,1.4,32.4,1.8,2.1,-
Beram Kayal,Brighton,il,31,DMC,178,74,9(9),937,1,1,4,-,0.3,71.2,0.9,1,1.6,0.8,1,-,1.4,0.9,0.6,-,0.2,0.6,0.4,-,0.6,0.7,15.1,0.1,0.5,-
David Button,Brighton,eng,30,GK,191,87,4,360,-,-,-,-,-,37.4,0.3,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,24.8,-,6.8,-
Solly March,Brighton,eng,24,AM(CLR),180,88,30(5),2475,1,5,1,-,1.2,70.6,0.5,-,1.6,0.8,0.8,-,0.7,0.7,0.1,-,1.2,1.4,0.9,0.2,1.2,1.3,21.6,1.3,0.9,-
Jürgen Locadia,Brighton,nl,25,"AM(LR),FW",185,87,12(14),1230,2,-,1,-,1.1,72.8,0.9,-,0.6,0.3,0.8,-,0.3,0.2,-,-,0.5,0.2,0.4,0.4,0.6,1.6,12.7,0.2,0.7,-
Florin Andone,Brighton,ro,26,FW,180,78,8(15),876,3,-,5,-,0.8,67.3,1.6,-,0.4,0.1,1.2,-,0.5,0.2,-,-,0.1,0.4,0.9,0.2,1.4,2.1,7.2,0.1,0.1,-
Martín Montoya,Brighton,es,28,D(LR),175,73,24(1),2166,-,1,4,-,0.3,80,1,-,2.3,1.9,1.2,0.3,2.5,0.9,0.4,-,0.7,0.5,0.6,-,0.4,0.8,34.3,0.6,1.5,-
Mat Ryan,Brighton,au,27,GK,184,82,34,3060,-,-,2,-,-,50.1,0.3,-,-,-,-,-,0.6,-,-,-,-,-,0.1,-,-,-,27.2,-,9.7,-
Bruno,Brighton,es,38,"D(R),M(R)",181,76,14,1136,-,1,2,-,0.1,82.4,0.6,-,1.8,0.8,0.3,0.1,1.9,0.3,0.1,-,0.4,0.3,0.6,0.2,0.1,0.3,36.4,0.4,1.6,-
Gaëtan Bong,Brighton,cm,31,D(L),187,74,19(3),1805,-,-,-,-,0.1,74.3,1.1,-,0.7,1.1,0.5,0.2,2,0.2,0.3,-,0.4,0.5,0.2,-,0.7,0.8,27.4,0.4,1.1,-
Leon Balogun,Brighton,ng,31,D(CR),190,88,5(3),591,1,-,2,-,0.1,75.9,1.6,-,1.5,2.1,0.6,0.3,4,0.1,0.4,-,-,-,0.3,0.1,0.3,1.1,27,-,1.9,-
José Izquierdo,Brighton,co,27,AM(L),171,73,9(6),794,-,1,1,-,1,74.6,0.2,-,1,0.3,0.4,-,0.5,0.7,0.1,-,0.4,0.9,0.3,0.3,0.8,1.2,13.7,0.1,0.3,-
Lewis Dunk,Brighton,eng,27,D(C),192,88,36,3153,2,1,5,1,0.6,82.8,3.3,1,1.2,1.3,0.6,0.3,5.4,0.6,1.1,-,0.3,-,0.4,-,0.1,0.4,41.4,-,4.5,-
Shane Duffy,Brighton,ie,27,D(C),193,76,35,3088,5,1,4,1,1.1,75.2,5.3,6,1,1,0.6,0.1,6.9,0.3,1.3,-,0.2,0.1,0.3,0.1,0.1,0.5,37.3,-,3.1,-
Glenn Murray,Brighton,eng,35,FW,183,80,30(8),2513,13,1,5,-,1.4,58.3,4.6,3,0.4,0.1,2.1,0.1,0.4,0.4,0.1,-,0.3,0.2,1.4,1,0.9,2.2,15.9,-,0.2,-
Yves Bissouma,Brighton,ml,22,M(C),182,80,17(11),1771,-,-,5,-,1.1,81.8,1,1,2.2,1.2,1.4,-,0.9,0.6,0.2,-,0.5,1.7,0.9,0.1,1.1,1.5,25.5,0.1,0.9,-
Aron Gunnarsson,Cardiff,is,30,M(C),178,70,27(1),2275,1,1,5,-,0.7,71.6,1.7,-,1.8,1.4,0.9,-,1.9,2.2,0.4,-,0.6,0.4,1.1,-,0.3,0.9,26.8,0.1,1.5,-
Lee Peltier,Cardiff,eng,32,"D(CLR),DMC,M(R)",178,73,17(3),1543,-,-,4,-,0.1,60.2,1.5,-,2,0.9,0.8,0.2,2.7,0.6,0.6,-,0.1,0.2,0.3,-,0.2,0.4,17.1,0.2,1.1,-
Bobby De Cordova-Reid,Cardiff,eng,26,"M(C),FW",170,68,16(11),1423,5,2,-,-,1,71.4,0.4,1,0.6,0.1,0.2,-,0.4,0.2,-,-,0.6,0.6,1,0.4,1.1,1.5,11.5,0.1,0.2,-
David Junior Hoilett,Cardiff,ca,29,"M(CLR),FW",173,70,23(9),2143,3,1,4,-,1.3,71.6,0.6,-,1.3,1,1.1,-,0.8,1.2,-,-,0.8,0.7,1.2,0.3,1.2,1.6,13.8,0.6,0.5,-
Leandro Bacuna,Cardiff,nl,27,"D(LR),M(CLR)",187,77,4(7),554,-,-,2,-,0.5,66.9,0.6,-,1.4,1.4,1.2,-,0.8,1.3,0.2,-,0.1,0.5,0.3,-,0.5,1,13.2,0.2,0.8,-
Nathaniel Mendez-Laing,Cardiff,eng,27,AM(R),180,77,11(9),987,4,1,-,-,1,62,1.2,-,1.7,0.7,0.4,-,0.7,0.7,0.1,-,1,1.5,0.2,0.2,1,1.3,12.8,0.5,0.3,0.1
Sean Morrison,Cardiff,eng,28,D(C),193,89,34,3040,1,3,6,-,1,62.8,6.6,1,1,1.5,0.9,0.3,5.9,0.4,0.9,-,0.6,0.2,0.6,0.3,0.3,0.4,21.7,-,1.1,-
Sol Bamba,Cardiff,ci,34,"D(C),DMC",190,90,28,2477,4,1,7,-,0.8,69.1,3.4,3,2.6,2.9,1.3,0.2,6.3,0.9,1.1,-,0.1,0.5,0.4,0.1,0.4,0.7,19.6,-,1.6,-
Oumar Niasse,Cardiff,sn,29,FW,182,75,12(1),940,-,-,-,-,1.3,64.7,2.9,-,0.9,0.2,0.6,-,0.5,0.3,-,-,0.4,1.5,1.3,0.7,2.9,4.4,12.8,-,0.2,-
Bruno Ecuele Manga,Cardiff,ga,30,D(CR),186,76,37(1),3374,-,1,-,-,0.3,64.9,2.3,-,1.8,2.1,0.4,0.3,4.5,0.8,0.7,-,0.2,0.3,0.3,-,0.3,0.6,25.2,0.1,2.4,-
Joe Bennett,Cardiff,eng,29,"D(L),M(L)",183,74,30,2641,-,1,5,-,0.3,71.8,1.2,-,1.7,2,0.7,0.1,2.8,0.5,0.3,-,0.5,0.8,1.2,-,0.4,0.3,23.1,0.4,1.4,-
Josh Murphy,Cardiff,eng,24,"AM(LR),FW",173,67,22(7),1826,3,2,2,-,1.6,60.4,0.4,1,0.9,0.4,0.5,-,0.3,0.7,-,-,0.6,1.3,1.9,0.3,1.3,1.5,10.6,0.5,0.4,0.1
Joe Ralls,Cardiff,eng,25,"DMC,M(L)",183,70,22(6),1960,-,-,4,1,0.8,69.2,1.2,-,1.6,1,1,-,1,0.8,0.2,-,1.2,0.2,0.4,-,0.5,0.7,27.8,0.9,2.9,-
Kadeem Harris,Cardiff,eng,26,AM(LR),175,67,3(10),366,1,-,1,-,0.4,70.5,0.2,-,0.9,0.2,0.3,-,0.3,0.1,-,-,0.5,0.5,0.4,0.1,0.5,1,6.8,0.3,-,-
Neil Etheridge,Cardiff,ph,29,GK,188,90,38,3420,-,-,2,-,-,32.3,0.2,3,-,0.2,-,-,0.8,-,-,-,0.1,-,0.1,-,-,-,30.1,-,9.1,-
Callum Paterson,Cardiff,sct,24,"D(R),M(CR),FW",183,76,21(6),1996,4,1,4,-,1.5,48.4,7.5,1,0.8,0.3,1.5,-,1,0.8,0.1,-,0.9,0.2,1.1,0.4,0.4,1.1,20.4,0.2,0.5,-
Harry Arter,Cardiff,ie,29,M(C),176,70,24(1),2009,-,1,10,-,0.9,80.7,0.2,-,2.5,0.8,1,-,0.8,1.2,0.2,-,0.4,0.1,0.6,0.1,0.1,0.8,26.3,0.2,1.7,-
Danny Ward,Cardiff,eng,27,"AM(CL),FW",178,72,4(10),440,1,-,-,-,0.8,54.3,2.2,-,0.1,-,0.1,-,0.6,0.2,0.1,-,0.5,-,0.4,0.2,0.4,0.9,6.6,-,0.1,-
Rhys Healey,Cardiff,wls,24,Forward,180,72,0(3),49,-,-,-,-,0.3,28.6,0.3,-,0.3,-,0.3,-,-,0.3,-,-,0.3,0.3,0.3,-,0.7,1,2.3,-,-,-
Loïc Damour,Cardiff,fr,28,AM(C),180,74,0(2),21,-,-,-,-,0.5,72.7,0.5,-,-,-,0.5,-,-,0.5,-,-,-,-,-,-,-,0.5,5.5,-,1,-
Kenneth Zohore,Cardiff,dk,25,FW,189,92,7(12),747,1,1,1,-,0.9,62.5,2.2,-,0.2,0.1,0.7,-,0.3,0.1,0.1,-,0.6,0.3,1.1,0.2,0.7,1.2,7.2,0.1,0.1,0.1
Gary Madine,Cardiff,eng,28,FW,193,80,0(5),32,-,-,-,-,-,83.3,0.6,-,0.2,-,0.4,-,-,-,-,-,-,-,0.2,-,0.4,0.2,2.4,-,-,-
Jazz Richards,Cardiff,wls,28,"D(LR),M(R)",185,78,0(4),129,-,-,-,-,-,69.2,-,-,-,0.5,-,0.3,1.3,0.3,0.3,-,-,-,-,-,-,0.5,6.5,-,-,-
Greg Cunningham,Cardiff,ie,28,"D(CL),M(L)",183,77,7,630,-,-,3,-,0.3,73.7,0.6,-,2.6,2.4,1.1,0.1,1.9,1,0.4,-,0.7,-,1.9,-,0.1,0.9,25.6,0.3,2.3,-
Víctor Camarasa,Cardiff,es,25,M(CR),183,76,31(1),2579,5,4,6,-,1.3,75.1,0.6,-,0.9,1,0.7,-,0.8,0.8,0.1,-,1.6,1.1,0.9,-,1.5,1.9,27.7,1.3,1.4,-
Sergio Rico,Fulham,es,25,GK,194,90,29,2610,-,-,1,-,-,53.8,0.5,2,-,-,-,-,1.2,-,-,-,0.1,-,0.2,-,-,-,27.4,-,9.2,-
Timothy Fosu-Mensah,Fulham,nl,21,D(CR),190,78,10(2),795,-,-,3,-,0.3,81.5,0.6,-,1.5,1,0.6,0.2,2.1,0.4,0.4,1,0.5,0.7,0.1,-,0.3,0.4,33.8,0.3,1.6,0.1
Alfie Mawson,Fulham,eng,25,D(C),188,81,13(2),1132,-,-,2,-,0.1,82.4,2.1,-,0.7,1.3,0.4,0.6,4.3,0.3,1.1,-,0.1,-,0.3,-,-,0.5,31.8,-,3,-
Maxime Le Marchand,Fulham,fr,29,D(CL),185,77,25(1),2252,-,1,5,-,0.2,83.3,2.2,-,2.2,2.1,1.1,0.6,4.7,0.9,0.6,-,0.3,0.4,0.3,0.1,0.2,0.4,53.3,0.2,3.5,-
Lazar Markovic,Fulham,rs,25,AM(CLR),175,65,0(1),45,-,-,-,-,-,96.6,-,-,-,-,1,-,2,-,-,-,1,1,-,-,2,2,29,-,1,-
Fabri,Fulham,es,31,GK,185,67,2,180,-,-,-,-,-,68.1,-,-,0.5,-,-,-,1.5,-,-,-,-,-,0.5,-,-,-,23.5,-,8,-
Calum Chambers,Fulham,eng,24,"D(CR),DMC",182,66,29(2),2587,2,-,9,-,1.1,79,2.1,-,2.1,2.2,1.1,0.3,3.5,1,0.4,-,0.5,0.7,0.1,-,0.8,1,47.9,-,2.9,-
Jean Michael Seri,Fulham,ci,27,M(C),168,65,27(5),2252,1,2,6,-,0.6,87,0.4,-,1.3,1,1,-,0.4,1,0.3,-,1.8,0.5,0.7,-,0.8,1,49.8,1.2,3.1,-
Kevin McDonald,Fulham,sct,30,M(C),192,95,10(5),843,-,-,4,1,0.3,85.2,1.3,-,0.9,0.6,0.8,0.1,1.3,0.5,0.1,-,0.3,-,0.4,-,0.3,0.2,38.3,-,2.2,-
Ryan Sessegnon,Fulham,eng,19,"D(L),M(LR)",178,70,26(9),2298,2,6,-,-,0.8,73.4,0.5,-,0.6,0.5,0.6,0.2,1.1,0.5,0.1,-,0.9,0.9,0.6,0.4,1.5,1.9,19.6,0.4,0.4,0.1
Aboubakar Kamara,Fulham,fr,24,"AM(R),FW",177,76,5(8),690,3,-,2,-,1.6,73.3,0.9,-,0.6,0.1,1.8,-,0.4,0.3,-,-,0.8,0.9,0.3,0.5,1,1.8,17.3,0.1,0.5,-
Ryan Babel,Fulham,nl,32,"M(LR),FW",185,85,15(1),1260,5,3,3,-,1.7,82.9,0.9,1,0.5,0.4,0.9,-,0.6,0.4,-,-,1.4,1.7,1,0.6,1.8,2.3,29.3,0.7,0.7,-
André-Frank Zambo Anguissa,Fulham,cm,23,DMC,184,78,16(6),1519,-,-,1,1,1,87.4,1,-,2.2,1.5,1,0.1,1.3,1.5,0.3,-,0.3,1.9,0.8,0.1,1.8,1.7,47.4,-,1.6,-
Luciano Vietto,Fulham,ar,25,"AM(R),FW",174,69,10(10),987,1,4,1,-,1.2,78.8,0.3,-,0.8,0.3,0.7,-,0.3,0.8,-,-,1.1,0.8,1,-,1.3,1.3,19.3,0.4,0.2,0.1
Marcus Bettinelli,Fulham,eng,27,GK,194,82,7,630,-,-,1,-,-,60.7,0.3,-,-,-,-,-,1.9,-,-,-,-,-,0.1,-,-,0.1,30.1,-,9.4,-
Cyrus Christie,Fulham,ie,26,"D(R),M(R)",188,78,19(9),1945,-,1,7,-,0.4,76.4,2,-,1.5,1,1,0.2,2.9,0.8,0.4,-,0.6,1,0.5,0.1,1,1,31.6,0.6,0.8,-
André Schürrle,Fulham,de,28,"M(CLR),FW",184,73,21(3),1650,6,-,2,-,2.3,77.8,0.6,1,1.3,0.3,0.7,-,0.7,1.3,-,-,0.9,0.8,0.8,0.5,1.4,2.1,21.8,0.4,0.7,-
Joe Bryan,Fulham,eng,25,"D(L),M(CL)",170,72,27(1),2347,-,1,5,-,0.8,75.4,1.1,-,2.2,1.1,0.9,0.1,2.5,0.6,0.4,-,0.9,0.5,1,0.1,0.6,0.8,33.9,0.8,1.7,-
Neeskens Kebano,Fulham,cd,27,AM(LR),170,65,0(7),104,-,-,-,-,0.1,82.8,0.6,-,0.4,-,-,-,0.4,-,-,-,-,0.6,0.1,-,0.4,0.9,4.1,0.1,-,-
Floyd Ayité,Fulham,tg,30,"M(CLR),FW",175,73,3(13),468,1,-,-,-,0.4,79.2,0.4,-,0.3,0.4,0.4,-,0.2,0.3,0.1,-,0.6,0.6,0.4,0.3,0.8,1.3,12,0.1,0.4,-
Stefan Johansen,Fulham,no,28,M(C),182,78,4(8),412,-,-,4,-,0.1,79.7,0.3,-,0.9,0.2,0.5,-,0.4,0.3,-,-,0.1,0.2,0.2,-,0.2,0.6,20.9,0.1,1,-
Aleksandar Mitrovic,Fulham,rs,24,FW,187,90,37,3282,11,3,7,-,3.5,72,6.5,4,0.5,0.2,1.6,-,1.4,0.3,0.2,-,0.8,0.6,1.6,0.9,2.6,3,27.7,-,0.4,0.1
