name,tm,nat,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Konstantinos Mavropanos,Arsenal,gr,21,D(C),194,88,3(1),150,-,-,1,-,0.5,92.7,0.5,-,0.3,1.8,0.5,1,1.3,-,0.3,-,0.3,0.5,-,-,-,-,34.3,-,3.3,-
Petr Cech,Arsenal,cz,37,GK,196,90,7,588,-,-,-,-,-,68.3,0.3,1,0.1,-,-,-,1,-,-,-,-,-,0.3,-,-,-,32,-,5.4,-
Shkodran Mustafi,Arsenal,de,27,D(CR),184,82,31,2617,2,-,9,-,0.6,81.9,4,2,2,1.9,1.4,0.7,5.2,0.3,0.5,-,0.2,0.3,0.3,0.1,0.2,0.4,56.9,-,3.2,0.1
Danny Welbeck,Arsenal,eng,28,"AM(CLR),FW",185,73,1(7),148,1,1,-,-,0.5,74.1,0.9,-,0.4,0.1,0.4,-,0.1,-,-,-,0.6,0.3,0.3,-,0.4,0.6,6.8,-,0.1,-
Nacho Monreal,Arsenal,es,33,"D(CL),M(L)",179,72,21(1),1861,1,3,5,-,0.3,87.6,1.6,-,1.6,1.4,0.8,0.5,2.5,0.5,0.5,-,0.5,0.3,1,-,0.1,0.5,53.1,0.2,1.4,-
Laurent Koscielny,Arsenal,fr,33,D(C),186,75,13(4),1330,3,-,1,-,0.3,91.9,1.5,1,1.1,1.8,0.5,0.8,4.1,0.4,0.9,-,0.1,0.1,0.8,-,0.2,0.2,52.4,-,3.5,-
Lucas Torreira,Arsenal,uy,23,DMC,168,64,24(10),2381,2,2,7,1,0.7,87.4,0.6,-,1.9,1.2,1.1,0.1,0.9,0.9,0.2,-,0.5,0.4,2.3,-,0.8,0.9,46.8,0.2,1.8,-
Carl Jenkinson,Arsenal,eng,27,D(R),185,77,2(1),167,-,-,-,-,-,77.3,0.3,-,1,-,0.3,-,0.7,0.3,1,-,0.3,-,-,-,1,1.7,25,-,-,-
Pierre-Emerick Aubameyang,Arsenal,ga,30,"M(LR),FW",187,80,30(6),2733,22,5,-,-,2.6,74,0.9,4,0.6,0.2,0.4,-,0.5,0.6,-,-,0.9,0.8,0.6,0.6,0.9,1.7,19.2,0.3,0.3,-
Sead Kolasinac,Arsenal,ba,26,"D(L),M(L)",183,85,22(2),1891,-,5,5,-,0.4,77.7,0.8,-,1.4,0.8,0.9,-,1,0.6,0.1,-,1.3,0.5,0.4,0.4,0.7,1.3,40.5,0.5,0.8,-
Mesut Özil,Arsenal,de,30,M(CLR),180,76,20(4),1742,5,2,2,-,0.5,88.6,0.2,2,0.5,0.2,0.4,-,0.2,0.8,0.1,-,1.9,0.9,0.9,0.4,1.4,2,46.6,0.8,1.2,0.1
Rob Holding,Arsenal,eng,23,D(CR),189,75,9(1),807,-,-,1,-,0.2,87.5,2.1,1,1.1,1.2,0.6,0.3,3.7,0.6,0.7,-,0.2,0.3,0.2,-,0.2,0.4,61.4,-,3.4,-
